source,target
Web Messaging,ActiveX
Web Messaging,Active Server Pages
Web Messaging,Ajax (programming)
Web Messaging,Apache HTTP Server
Web Messaging,Apache JServ Protocol
Web Messaging,Application server
Web Messaging,Browser Helper Object
Web Messaging,Browser extension
Web Messaging,Canvas element
Web Messaging,Cascading Style Sheets
Web Messaging,Client-side
Web Messaging,Client-side scripting
Web Messaging,Common Gateway Interface
Web Messaging,Communication protocol
Web Messaging,Cross-origin resource sharing
Web Messaging,DOM events
Web Messaging,Document Object Model
Web Messaging,Dynamic HTML
Web Messaging,Dynamic web page
Web Messaging,Encrypted Media Extensions
Web Messaging,FastCGI
Web Messaging,Gears (software)
Web Messaging,Google Native Client
Web Messaging,HTML
Web Messaging,HTML5
Web Messaging,HTML5 File API
Web Messaging,HTML5 audio
Web Messaging,HTML5 video
Web Messaging,HTML element
Web Messaging,HTTP handler
Web Messaging,Hypertext Transfer Protocol
Web Messaging,Indexed Database API
Web Messaging,Internet Explorer
Web Messaging,Internet Server Application Programming Interface
Web Messaging,JSGI
Web Messaging,JSONP
Web Messaging,JavaScript
Web Messaging,Java Portlet Specification
Web Messaging,Java servlet
Web Messaging,Kepler (software)
Web Messaging,Khronos Group
Web Messaging,List of Apache modules
Web Messaging,List of application servers
Web Messaging,Mashup (web application hybrid)
Web Messaging,Media Source Extensions
Web Messaging,Mod jk
Web Messaging,Mod lisp
Web Messaging,Mod mono
Web Messaging,Mod parrot
Web Messaging,Mod perl
Web Messaging,Mod proxy
Web Messaging,Mod python
Web Messaging,Mod ruby
Web Messaging,Mod wsgi
Web Messaging,NPAPI
Web Messaging,Netscape Server Application Programming Interface
Web Messaging,Open API
Web Messaging,Open Web Interface for .NET
Web Messaging,Opera (web browser)
Web Messaging,PHP
Web Messaging,Phusion Passenger
Web Messaging,Plack (software)
Web Messaging,Rack (web server interface)
Web Messaging,Rich web application
Web Messaging,Safari (web browser)
Web Messaging,Scalable Vector Graphics
Web Messaging,Server-sent events
